Categoria,Desconto,Preço,Produto,Unnamed: 0
Disco Rigido (HD),,379.99,"HD Externo WD My Passport, 1TB, USB 3.0, Preto - WDBYVG0010BBK-WESN",31
Disco Rigido (HD),,2659.15,Hd Seagate Skyhawk 20tb Sata De 6 Gb/s 512mb - St20000ve003,32
Disco Rigido (HD),,1949.99,"HD Externo WD Elements Desktop, 12TB, USB 3.0, Preto - WDBWLG0120HBK-NESN",33
Disco Rigido (HD),,1619.99,"HD Surveillance WD Purple, 8TB, 5640RPM, Cache 256MB, 3.5', SATA - WD85PURZ",34
Disco Rigido (HD),,1574.99,"HD Interno WD Gold Enterprise Class, 6TB, SATA, 3.5' - WD6003FRYZ",35
Disco Rigido (HD),,2174.99,"HD Interno WD Gold Enterprise Class, 10TB, SATA, 3.5' - WD102KRYZ",36
Disco Rigido (HD),,809.99,"HD Externo LaCie Rugged Mini, 2TB, USB, Laranja - LAC9000298",37
Disco Rigido (HD),,30.14,"Case USB 3.0 para HD SATA 2.5"" Externo Transparente Infokit Gaveta para HD Ecase-300",38
Disco Rigido (HD),,2429.99,"HD Externo WD Elements Desktop Hard Drive, 16TB, USB 3.0, Preto - WDBWLG0160HBK-NESN",39
Drivers,,229.0,Gravador Dvd Externo Dell Slim - Portátil - Usb - Preto - Dw316,0
Drivers,,47.99,Gravador Dvd-rw Sata Asus 24x Drw-24f1mt/blk/b/as,1
Drivers,,18.0,"Leitor De Cd E Dvd, Super Multi",2
Drivers,,95.93,"Driver Interno PC 3.5 CD/DVD, Kp-le301 - Knup",3
Drivers,,139.99,Gravador E Leitor De Dvd E Cd Externo Slim Usb Para Notebook Ou Cpu,4
Drivers,,199.99,Leitor E Gravador De Cd Dvd Externo Para PC E Notebook Usb 3.0 Drive Portátil Slim Preto Usb C Mac Ultrabook WINDOWS,5
Drivers,,149.9,Leitor Gravador De Cd/dvd Externo Portátil Slim Usb Gt,6
Drivers,,54.0,Case Para Gravador De Dvd Usb 12.7mm Externo Gv-u2,7
Drivers,,145.27,"Leitor De Cartão SD Otg Cabletime, USB-C A 3.0",8
Drivers,,162.0,"Drive Oem, Leitor E Gravador Dvd, Desktop Sata, Preto",9
Drivers,,192.36,Leitor De Cartão Rfid Intelbras Le130,10
Drivers,,92.66,"Gravador DVD Dex DG-200 SATA, 5.25""",11
Drivers,,130.8,"Drive Knup Gravador Externo, CD e DVD, Compatível com Notebook e Desktop - Kp-le303",12
Drivers,,225.0,"Drive Externo 6 Em 1 Playshop, Hub Leitor E Gravador De Cd, Dvd, 2 Porta Usb 3.0 e Tipo C, 1 Slot Adaptador Cartão Micro Sd",13
Drivers,,210.0,"Gravador de CD e DVD Dex Slim, Externo, Plug & Play - Dg-320c",14
Drivers,,74.35,Cd-Rom Drive Samsung SH-C522,15
Drivers,,164.89,Gravador De Voz Digital 32GB,16
Drivers,,597.87,"HP Enterprise LTO-7 Ultrium, 15TB, RW Data Cartridge - C7977A",17
Drivers,,4891.45,"Gravador Portátil Zoom, Podtrak P8 Podcast Multitrack",18
Drivers,,149.9,Gravador Dvd Usb Externo Leitor Notebook Pc 3.0 Slim Portátil - Gv02,19
Drivers,,19.58,"Leitor De Cartão Interno Para Gabinete Gv Brasil, Usb 2.0, Multifuncional - Acr.316",20
Drivers,,129.0,"Gravador DVD Externo Bluecase Slim, Portátil, USB 2.0 - Bgde-01sbx",21
Drivers,,431.38,"HP Enterprise LTO-6 Ultrium, 6.25TB, MP RW D ATA Tape - C7976A",22
Drivers,,152.09,"Gravador Drive DVD SATS 18 X Knup, 3.5 Polegadas - Kp-Le301 - Oem",23
Drivers,,319.84,"Fita Sony LTO6, 2500/6250GB - LTX2500",24
Drivers,,149.9,Tartarugas Ninja 2 Michelangelo Funko Pop,25
Drivers,,419.9,Star Wars The Mandalorian With The Child Television Moments Funko Pop,26
Drivers,,66.68,Gravador De Dvd Faster Bl-0224 Bluecase,27
Drivers,,48.44,Cabo Usb Tipo C Baseus I6s Preto 1m,28
Drivers,,343.75,Cabo Usb Topk An24 Azul 1m,29
Drivers,,478.13,Cabo Usb Para Carregar Tipo C Baseus 100 W Preto 5 Unidades 1m,30
Drivers,,478.13,Cabo Usb Para Carregar Tipo C Baseus 100 W Vermelho Preto 5 Unidades 1m,31
Drivers,,856.25,Cabo Usb Para Carregar Tipo C Baseus 100 W Preto 10 Unid. 1m,32
Drivers,,312.5,Cabos Para Carregamento Iphone Tipo C Topk A1 Micro Cabo 1m 1 Pcs,33
Drivers,,56.25,Cabo Usb Tipo C Baseus 5n 100w Preto 1m,34
Drivers,,296.88,Cabo Usb Magnético Tipo C Topk Am68 Preto 1m Para Micro Usb,35
Drivers,,115.0,Gravador Externo - Dvd - Cd - Usb 2.0 Slim Portatil,36
Drivers,,539.9,The Mandalorian The Child W/ Egg Canister Baby Yoda - Funko Pop,37
Drivers,,13.0,Cabo Micro Usb 1mt Nylon Trançado Rainbow M510rb Elg,38
Drivers,,466.83,"Fita De Cartucho De Dados Fujifilm Lto Ultrium 7, 6TB, Com Tecnologia De Ferrite De Bário - 16456574f",39
Fontes,-9%,269.99,"Fonte MSI MAG A650BN, 650W, 80 Plus Bronze, PFC Ativo, Com Cabo, Preto - 306-7ZP2B22-CE0",0
Fontes,-5%,269.99,"Fonte MSI MAG A600DN, 600W, 80 Plus White, PFC Ativo, Com Cabo, Preto - 306-7ZP6B22-809",1
Fontes,-32%,549.99,"Fonte MSI MAG A850GL, 850W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto",2
Fontes,-2%,209.99,"Fonte Gamer Rise Mode Zeus, 500W, PFC Ativo, Preto - RM-PSU-01-WT-500",3
Fontes,-11%,439.99,"Fonte XPG Kyber, 850W, 80 Plus Gold, Com Cabo, Preto - KYBER850G-BKCBR",4
Fontes,-2%,314.99,"Fonte Gamer Rise Mode Zeus, 650W, Modular, PFC Ativo, Preto - RM-PSU-01-BZ-650",5
Fontes,-15%,269.99,"Fonte Gamer Rise Mode Zeus, 550w, 80 Plus Bronze, Modular, PFC Ativo, Preto - RM-PSU-01-BZ-550",6
Fontes,-38%,49.9,"Fonte Fortrek PWS-2003, 200W, Sem Cabo, Prata - FK420P",7
Fontes,-9%,549.99,"Fonte MSI MAG A750GL, 750W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto",8
Fontes,-1%,239.99,"Fonte KBM! GAMING FN650, 650W, 80 Plus Bronze, Cybenetics Bronze, PFC ativo, Com Cabo, Preto - KBFN65065PT",9
Fontes,-12%,129.99,"Fonte Gamer Fortrek ATX Crusader, 500W, Sem Cabo, Preto - 76955",10
Fontes,-15%,349.99,"Fonte Gamemax GP750, 750W, 80 Plus Bronze, PFC Ativo, Com Cabo, Preto - GP750",11
Fontes,-4%,684.99,"Fonte XPG Core Reactor, 850W, 80 Plus Gold, Modular, Com Cabo, Preto - Core Reactor",12
Fontes,-1%,799.99,"Fonte Corsair RMx Series RM850x, 850W, 80 Plus Gold, Modular, Sem Cabo, Preto - CP-9020200-WW",13
Fontes,-9%,419.99,"Fonte Cooler Master MWE Bronze V2 Full Range, 750W, 80 Plus Bronze, PFC Ativo, Sem Cabo, Preto - MPE-7501-ACAAW-BBR",14
Fontes,-36%,679.99,"Fonte Gamer Rise Mode Zeus, 1000W, 80 Plus Platinum, Modular, PFC Ativo, Preto - RM-PSU-01-PA-1000",15
Fontes,-15%,334.99,"Fonte Gigabyte P650B, 650W, 80 Plus Bronze, PFC Ativo, Com Cabo, Preto - GP-P650B/BR",16
Fontes,-29%,589.99,"Fonte XPG Core Reactor, 650W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto",17
Fontes,-25%,789.99,"Fonte XPG Core Reactor II 850G-BKCBR, 850W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto - 75261198",18
Fontes,-19%,679.99,"Fonte MSI MAG A850GL, 850W, 80 Plus Gold, Modular, PFC Ativo, Branco - MAG A850GL PCIE5 WHITE",19
Fontes,-17%,204.99,"Fonte Duex DX 500FSE++, 500W, 80 Plus Bronze, Modular, PFC Ativo, Preto - DX500FSE++",20
Fontes,-34%,649.99,"Fonte XPG Core Reactor, 750W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto - Core Reactor",21
Fontes,,1049.99,"Fonte Corsair RM1000X, 1000W, 80 Plus Gold, Modular, Sem Cabo, Preto - 9020201-BR",22
Fontes,,189.99,"Fonte Fortrek Black Hawk, 400W, 80 Plus White, Sem Cabo, Preto - 70458",23
Fontes,,799.99,"Fonte Corsair RMe Series RM850e, 850W, 80 Plus Gold, Modular, Sem Cabo, Preto - CP-9020263-BR",24
Fontes,,719.99,"Fonte Corsair RM750X, 750W, 80 Plus Gold, Modular, Sem Cabo, Preto - 9020199-BR",25
Fontes,,569.99,"Fonte XPG Core Reactor II VE, 850W, 80 Plus Gold, Modular, PFC Ativo, Preto - 75261436",26
Fontes,,123.99,"Fonte Aerocool VX-350, 350W, Sem Cabo, Preto - EN57181",27
Fontes,,334.99,"Fonte Cooler Master MWE Bronze V2 Full Range, 550W, 80 Plus Bronze, PFC Ativo, Com Cabo, Preto - MPE-5501-ACAAW-BBR",28
Fontes,,279.99,"Fonte Redragon RGPS, 500W, 80 Plus Bronze, Sem Cabo, Preto - GC-PS001-1",29
Fontes,,589.99,"Fonte Gigabyte Ultra Durable UD750GM, 750W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto - GP-UD750GM",30
Fontes,,799.99,"Fonte ASUS TUF Gaming, 850W, 80 Plus Gold, Modular, PFC Ativo, Sem Cabo, Preto - 90YE00S2-B0BA00",31
Fontes,,229.99,"Fonte Fortrek Black Hawk, 500W, 80 Plus Bronze, PFC Ativo, Sem Cabo, Preto - 70459",32
Fontes,,369.99,"Fonte Gamdias Cyclops M1-750B, 750W, 80 Plus Bronze, PFC Ativo, Sem Cabo, Preto - B0D2361HWG",33
Fontes,,989.99,"Fonte MSI MPG A1000G, 1000W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto - MPG A1000G PCIE5",34
Fontes,,599.99,"Fonte Gamer Rise Mode Zeus, 850W, Modular, PFC Ativo, Preto - RM-PSU-01-PA-850",35
Fontes,,539.99,"Fonte MSI MAG A650GL, 650W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto",36
Fontes,,659.99,"Fonte Gigabyte Ultra Durable UD850GM, 850W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto - GP-UD850GM",37
Fontes,,1299.99,"Fonte ASUS TUF Gaming, 1200W, 80 Plus Gold, Modular, PFC Ativo, Sem Cabo, Preto - 90YE00S0-B0BA00",38
Fontes,,129.06,"Fonte Aerocool ATX VX-350, 350W, PFC Ativo, Sem Cabo, Bivolt - EN57181",39
Kit_Hardware,,469.99,"Kit Upgrade, Placa Mãe H81 + Processador I5 4570 + Memoria 8GB, DDR3 + Cooler",0
